date,country,cases,deaths
12/30/2014,US ,4,1
12/31/2014,Guinea,2397,1433
12/31/2014,Liberia,3110,0
12/31/2014,Mali,7,0
12/31/2014,Nigeria,19,7
12/31/2014,Senegal,1,0
12/31/2014,Sierra Leone,7354,2392
12/31/2014,Spain,1,0
12/31/2014,US ,4,1
1/2/2015,Guinea,2435,1463
1/2/2015,Liberia,3110,0
1/2/2015,Mali,7,0
1/2/2015,Nigeria,19,7
1/2/2015,Senegal,1,0
1/2/2015,Sierra Leone,7476,2461
1/2/2015,Spain,1,0
1/2/2015,United Kingdom,1,0
1/2/2015,US ,4,1
1/5/2015,Guinea,2465,1488
1/5/2015,Liberia,3116,0
1/5/2015,Mali,7,0
1/5/2015,Nigeria,19,7
1/5/2015,Senegal,1,0
1/5/2015,Sierra Leone,7570,2549
1/5/2015,Spain,1,0
1/5/2015,United Kingdom,1,0
1/5/2015,US ,4,1
1/6/2015,Guinea,2471,1499
1/6/2015,Liberia,3118,0
1/6/2015,Mali,7,0
1/6/2015,Nigeria,19,7
1/6/2015,Senegal,1,0
1/6/2015,Sierra Leone,7602,2577
1/6/2015,Spain,1,0
1/6/2015,United Kingdom,1,0
1/6/2015,US ,4,1
1/7/2015,Guinea,2471,1499
1/7/2015,Liberia,3118,0
1/7/2015,Mali,7,0
1/7/2015,Nigeria,19,7
1/7/2015,Senegal,1,0
1/7/2015,Sierra Leone,7602,2577
1/7/2015,Spain,1,0
1/7/2015,United Kingdom,1,0
1/7/2015,US ,4,1
1/8/2015,Guinea,2477,1504
1/8/2015,Liberia,3118,0
1/8/2015,Mali,7,0
1/8/2015,Sierra Leone,7759,2611
1/8/2015,United Kingdom,1,0
1/9/2015,Guinea,2493,1515
1/9/2015,Liberia,3123,0
1/9/2015,Mali,7,0
1/9/2015,Sierra Leone,7759,2611
1/9/2015,United Kingdom,1,0
1/12/2015,Guinea,2508,1523
1/12/2015,Liberia,3123,0
1/12/2015,Mali,7,0
1/12/2015,Sierra Leone,7766,2683
1/12/2015,United Kingdom,1,0
1/13/2015,Guinea,2508,1523
1/13/2015,Liberia,3123,0
1/13/2015,Mali,7,0
1/13/2015,Sierra Leone,7766,2683
1/13/2015,United Kingdom,1,0
1/14/2015,Guinea,2514,1530
1/14/2015,Liberia,3127,0
1/14/2015,Mali,7,0
1/14/2015,Nigeria,19,7
1/14/2015,Senegal,1,0
1/14/2015,Sierra Leone,7786,2696
1/14/2015,Spain,1,0
1/14/2015,United Kingdom,1,0
1/14/2015,US ,4,1
1/15/2015,Guinea,2522,1537
1/15/2015,Liberia,3127,0
1/15/2015,Mali,7,0
1/15/2015,Nigeria,19,7
1/15/2015,Senegal,1,0
1/15/2015,Sierra Leone,7802,2701
1/15/2015,Spain,1,0
1/15/2015,United Kingdom,1,0
1/15/2015,US ,4,1
1/16/2015,Guinea,2525,1541
1/16/2015,Liberia,3127,0
1/16/2015,Mali,7,0
1/16/2015,Nigeria,19,7
1/16/2015,Senegal,1,0
1/16/2015,Sierra Leone,7825,2717
1/16/2015,Spain,1,0
1/16/2015,United Kingdom,1,0
1/16/2015,US ,4,1
1/19/2015,Guinea,2539,1556
1/19/2015,Liberia,3131,0
1/19/2015,Mali,7,0
1/19/2015,Nigeria,19,7
1/19/2015,Senegal,1,0
1/19/2015,Sierra Leone,7883,2766
1/19/2015,Spain,1,0
1/19/2015,United Kingdom,1,0
1/19/2015,US ,4,1
1/20/2015,Guinea,2539,1557
1/20/2015,Liberia,3135,0
1/20/2015,Mali,7,0
1/20/2015,Nigeria,19,7
1/20/2015,Senegal,1,0
1/20/2015,Sierra Leone,7903,2779
1/20/2015,Spain,1,0
1/20/2015,United Kingdom,1,0
1/20/2015,US ,4,1
1/21/2015,Guinea,2539,1557
1/21/2015,Liberia,3135,0
1/21/2015,Mali,7,0
1/21/2015,Nigeria,19,7
1/21/2015,Senegal,1,0
1/21/2015,Sierra Leone,7903,2779
1/21/2015,Spain,1,0
1/21/2015,United Kingdom,1,0
1/21/2015,US ,4,1
1/22/2015,Guinea,2542,1560
1/22/2015,Liberia,3136,0
1/22/2015,Mali,7,0
1/22/2015,Nigeria,19,7
1/22/2015,Senegal,1,0
1/22/2015,Sierra Leone,7909,2787
1/22/2015,Spain,1,0
1/22/2015,United Kingdom,1,0
1/22/2015,US ,4,1
1/23/2015,Guinea,2545,1561
1/23/2015,Liberia,3136,0
1/23/2015,Mali,7,0
1/23/2015,Nigeria,19,7
1/23/2015,Senegal,1,0
1/23/2015,Sierra Leone,7921,2793
1/23/2015,Spain,1,0
1/23/2015,United Kingdom,1,0
1/23/2015,US ,4,1
1/26/2015,Guinea,2559,1574
1/26/2015,Liberia,3136,0
1/26/2015,Mali,7,0
1/26/2015,Nigeria,19,7
1/26/2015,Senegal,1,0
1/26/2015,Sierra Leone,7963,2829
1/26/2015,Spain,1,0
1/26/2015,United Kingdom,1,0
1/26/2015,US ,4,1
1/27/2015,Guinea,2569,1578
1/27/2015,Liberia,3138,0
1/27/2015,Mali,7,0
1/27/2015,Nigeria,19,7
1/27/2015,Senegal,1,0
1/27/2015,Sierra Leone,7968,2833
1/27/2015,Spain,1,0
1/27/2015,United Kingdom,1,0
1/27/2015,US ,4,1
1/28/2015,Guinea,2569,1578
1/28/2015,Liberia,3138,0
1/28/2015,Mali,7,0
1/28/2015,Nigeria,19,7
1/28/2015,Senegal,1,0
1/28/2015,Sierra Leone,7968,2833
1/28/2015,Spain,1,0
1/28/2015,United Kingdom,1,0
1/28/2015,US ,4,1
1/29/2015,Guinea,2571,1579
1/29/2015,Liberia,3138,0
1/29/2015,Mali,7,0
1/29/2015,Nigeria,19,7
1/29/2015,Senegal,1,0
1/29/2015,Sierra Leone,7977,2841
1/29/2015,Spain,1,0
1/29/2015,United Kingdom,1,0
1/29/2015,US ,4,1
1/30/2015,Guinea,2575,1581
1/30/2015,Liberia,3138,0
1/30/2015,Mali,7,0
1/30/2015,Nigeria,19,7
1/30/2015,Senegal,1,0
1/30/2015,Sierra Leone,7989,2850
1/30/2015,Spain,1,0
1/30/2015,United Kingdom,1,0
1/30/2015,US ,4,1
2/2/2015,Guinea,2593,1595
2/2/2015,Liberia,3138,0
2/2/2015,Mali,7,0
2/2/2015,Nigeria,19,7
2/2/2015,Senegal,1,0
2/2/2015,Sierra Leone,8042,2908
2/2/2015,Spain,1,0
2/2/2015,United Kingdom,1,0
2/2/2015,US ,4,1
2/3/2015,Guinea,2608,1597
2/3/2015,Liberia,3143,0
2/3/2015,Mali,7,0
2/3/2015,Nigeria,19,7
2/3/2015,Senegal,1,0
2/3/2015,Sierra Leone,8059,2910
2/3/2015,Spain,1,0
2/3/2015,United Kingdom,1,0
2/3/2015,US ,4,1
2/4/2015,Guinea,2608,1597
2/4/2015,Liberia,3143,0
2/4/2015,Mali,7,0
2/4/2015,Nigeria,19,7
2/4/2015,Senegal,1,0
2/4/2015,Sierra Leone,8059,2910
2/4/2015,Spain,1,0
2/4/2015,United Kingdom,1,0
2/4/2015,US ,4,1
2/5/2015,Guinea,2621,1600
2/5/2015,Liberia,3143,0
2/5/2015,Mali,7,0
2/5/2015,Nigeria,19,7
2/5/2015,Senegal,1,0
2/5/2015,Sierra Leone,8063,2920
2/5/2015,Spain,1,0
2/5/2015,United Kingdom,1,0
2/5/2015,US ,4,1
2/6/2015,Guinea,2628,1608
2/6/2015,Liberia,3143,0
2/6/2015,Mali,7,0
2/6/2015,Nigeria,19,7
2/6/2015,Senegal,1,0
2/6/2015,Sierra Leone,8084,2935
2/6/2015,Spain,1,0
2/6/2015,United Kingdom,1,0
2/6/2015,US ,4,1
2/10/2015,Guinea,2674,1643
2/10/2015,Liberia,3146,3826
2/10/2015,Mali,7,0
2/10/2015,Nigeria,19,7
2/10/2015,Senegal,1,0
2/10/2015,Sierra Leone,8135,2975
2/10/2015,Spain,1,0
2/10/2015,United Kingdom,1,0
2/10/2015,US ,4,1
2/11/2015,Guinea,2674,1643
2/11/2015,Liberia,3146,3826
2/11/2015,Mali,7,0
2/11/2015,Nigeria,19,7
2/11/2015,Senegal,1,0
2/11/2015,Sierra Leone,8135,2975
2/11/2015,Spain,1,0
2/11/2015,United Kingdom,1,0
2/11/2015,US ,4,1
2/12/2015,Guinea,2685,1651
2/12/2015,Liberia,3146,3826
2/12/2015,Mali,7,0
2/12/2015,Nigeria,19,7
2/12/2015,Senegal,1,0
2/12/2015,Sierra Leone,8138,2984
2/12/2015,Spain,1,0
2/12/2015,United Kingdom,1,0
2/12/2015,US ,4,1
2/13/2015,Guinea,2693,1659
2/13/2015,Liberia,3147,3858
2/13/2015,Mali,7,0
2/13/2015,Nigeria,19,7
2/13/2015,Senegal,1,0
2/13/2015,Sierra Leone,8155,2997
2/13/2015,Spain,1,0
2/13/2015,United Kingdom,1,0
2/13/2015,US ,4,1
2/16/2015,Guinea,2720,1678
